Scenario,Trial_ID,Final_Opinion_IG,Final_Trust_DGI,Follow_Ratio_x
Normal,41,-1681970585.3897905,-0.9860488355879836,0.006975582206008217
Normal,42,-798694318.041353,-1.0,0.0
Normal,43,-254699528.7769855,-1.0,0.0
Normal,44,-508474694.48463804,-0.9564676517191387,0.021766174140430642
Normal,45,-2730882285.2713094,-0.9820226440621243,0.008988677968937873
Normal,46,-2426899447.796477,-0.9968561256632916,0.001571937168354207
Normal,47,-1168627415.6228914,-0.9974647408100209,0.001267629594989523
Normal,48,-5489713726.360621,-0.9844948808729821,0.007752559563508949
Normal,49,-1862395358.0950484,-0.9910606401814764,0.004469679909261787
Normal,50,-1692836474.4894056,-0.995981648256594,0.002009175871703027
Normal,51,-768926962.6760161,-0.9628912520851831,0.018554373957408467
Normal,52,-334879677.75967145,-1.0,0.0
Normal,53,-825181150.7617223,-0.9729626994199242,0.013518650290037881
Normal,54,-79215069.94389753,-0.9739169218993542,0.013041539050322877
Normal,55,-3361067715.8246317,-0.923416685083851,0.038291657458074474
Normal,56,-1311966509.2760437,-0.9889773888421091,0.005511305578945446
Normal,57,-1716877730.8939574,-1.0,0.0
Normal,58,-424598240.4709086,-0.9849490766728516,0.007525461663574191
Normal,59,-1266051645.0959225,-0.9772495237501116,0.011375238124944195
Normal,60,-808556309.8051684,-0.928845099866967,0.03557745006651654
Normal,61,-401084024.7290336,-0.9929573169178431,0.003521341541078459
Normal,62,-1378980863.7209656,-0.9581378110741484,0.020931094462925803
Normal,63,-176146146.16576353,-0.9985415585917824,0.0007292207041087879
Normal,64,-2845549739.9380736,-0.9699221234325677,0.01503893828371614
Normal,65,-1664417099.7645423,-0.9798116256585571,0.010094187170721454
Normal,66,-1970449591.5454144,-0.9572591799611664,0.021370410019416825
Normal,67,-911566974.5412552,-0.9497860232494747,0.025106988375262665
Normal,68,-1344302235.8675692,-0.9950482584688223,0.0024758707655888603
Normal,69,-1679063977.967431,-0.9734496309539239,0.01327518452303806
Normal,70,-457297135.44611424,-0.9880150632048057,0.005992468397597162
Normal,71,-314336666.1172912,-0.9883964464976157,0.0058017767511921335
Normal,72,-4921962007.000802,-0.9928641133418711,0.003567943329064453
Normal,73,-1060981342.5510234,-0.9780554696722901,0.010972265163854971
Normal,74,-1916866166.269318,-0.9597359895961767,0.02013200520191165
Normal,75,-1021783587.665794,-0.9438146189375887,0.028092690531205684
Normal,76,-313807998.717405,-0.95950898859104,0.02024550570448002
Normal,77,-4209457325.410313,-0.9572568049876399,0.021371597506180062
Normal,78,-884380399.4144828,-0.9876370163582944,0.0061814918208527945
Normal,79,-2594034119.843192,-1.0,0.0
Normal,80,-1085325977.1121352,-0.9894086549474524,0.005295672526273791
Normal,81,-134167032.86178237,-0.9949676380253346,0.002516180987332689
Normal,82,-353499557.2396827,-0.9751456235000232,0.012427188249988416
Normal,83,-4090939684.8623676,-0.9936968333298037,0.0031515833350981267
Normal,84,-959279406.2611436,-0.993856036585566,0.003071981707216993
Normal,85,-2081919604.6843708,-0.9581899112666262,0.020905044366686894
Normal,86,-1966515976.222861,-0.9445263938317875,0.02773680308410627
Normal,87,-5394925608.310705,-0.9570633943058041,0.021468302847097942
