N_majority,Log10_N_majority,Delta_Z,Probability_Weight
43287612.810830615,7.636363636363637,384.3223846124607,1.232846739442057e-167
52140082.879996955,7.717171717171718,391.020813973898,1.5199110829528625e-170
62802914.41834259,7.7979797979797985,397.7192433353352,1.873817422860329e-173
75646332.7554629,7.878787878787879,404.4176726967724,2.3101297000831322e-176
91116275.61154905,7.95959595959596,411.11610205820966,2.8480358684356556e-179
109749876.5493059,8.040404040404042,417.8145314196469,3.5111917342148125e-182
132194114.84660287,8.121212121212121,424.5129607810841,4.328761281082987e-185
159228279.3341094,8.202020202020202,431.21139014252134,5.3366992312060115e-188
191791026.16724926,8.282828282828284,437.9098195039586,6.579332246575054e-191
231012970.0083158,8.363636363636363,444.6082488653957,8.111308307897162e-194
278255940.2207126,8.444444444444445,451.306678226833,9.999999999999397e-197
335160265.09388477,8.525252525252526,458.0051075882702,1.2328467394420133e-199
403701725.85965496,8.606060606060606,464.70353694970737,1.5199110829529815e-202
486260158.00653535,8.686868686868687,471.40196631114463,1.8738174228603692e-205
585702081.8056673,8.767676767676768,478.1003956725819,2.3101297000830502e-208
705480231.071863,8.848484848484848,484.798825034019,2.8480358684360404e-211
849753435.9086473,8.92929292929293,491.4972543954564,3.5111917342146885e-214
1023531021.8990269,9.01010101010101,498.1956837568936,4.3287612810828344e-217
1232846739.4420683,9.090909090909092,504.89411311833084,5.336699231205823e-220
1484968262.2544696,9.171717171717173,511.5925424797681,6.5793322465748206e-223
1788649529.057435,9.252525252525253,518.2909718412052,8.111308307896875e-226
2154434690.0318866,9.333333333333334,524.9894012026424,1.000000000000018e-228
2595024211.3997426,9.414141414141415,531.6878305640797,1.2328467394419697e-231
3125715849.6882353,9.494949494949495,538.3862599255168,1.5199110829530142e-234
3764935806.7924714,9.575757575757576,545.0846892869541,1.8738174228603028e-237
4534878508.128592,9.656565656565657,551.7831186483913,2.3101297000831e-240
5462277217.684337,9.737373737373737,558.4815480098285,2.848035868435778e-243
6579332246.575683,9.818181818181818,565.1799773712657,3.511191734215163e-246
7924828983.539186,9.8989898989899,571.8784067327031,4.328761281082681e-249
9545484566.618328,9.97979797979798,578.5768360941402,5.336699231206544e-252
11497569953.977404,10.060606060606062,585.2752654555776,6.579332246574588e-255
13848863713.938745,10.141414141414142,591.9736948170148,8.1113083078956665e-258
16681005372.000557,10.222222222222221,598.6721241784518,1.0000000000000964e-260
20092330025.65054,10.303030303030305,605.3705535398892,1.2328467394419261e-263
24201282647.943832,10.383838383838384,612.0689829013263,1.5199110829529604e-266
29150530628.251816,10.464646464646465,618.7674122627636,1.8738174228602368e-269
35111917342.15142,10.545454545454547,625.465841624201,2.3101297000827557e-272
42292428743.89499,10.626262626262626,632.1642709856379,2.8480358684360007e-275
50941380148.16386,10.707070707070708,638.8627003470752,3.511191734215039e-278
61359072734.13188,10.787878787878789,645.5611297085126,4.328761281082528e-281
73907220335.25775,10.868686868686869,652.2595590699495,5.3366992312069624e-284
89021508544.50392,10.94949494949495,658.9579884313869,6.579332246575851e-287
107226722201.03253,11.030303030303031,665.6564177928242,8.111308307896301e-290
129154966501.48827,11.11111111111111,672.3548471542613,1.0000000000000609e-292
155567614393.04785,11.191919191919194,679.0532765156986,1.2328467394420226e-295
187381742286.0387,11.272727272727273,685.7517058771358,1.5199110829529066e-298
225701971963.3917,11.353535353535353,692.4501352385729,1.8738174228605964e-301
271858824273.29514,11.434343434343436,699.1485646000103,2.3101297000829364e-304
327454916287.7732,11.515151515151516,705.8469939614474,2.8480358684359e-307
394420605943.7664,11.595959595959597,712.5454233228847,3.5111917342149e-310
475081016210.28125,11.676767676767678,719.243852684322,4.3287612811e-313
572236765935.022,11.757575757575758,725.9422820457592,5.33669923e-316
689261210434.971,11.83838383838384,732.6407114071964,6.5793e-319
830217568131.9769,11.91919191919192,739.3391407686337,8.1e-322
1000000000000.0,12.0,746.0375701300708,0.0
